show,season,episode,name,rating
The Simpsons,10,10,Viva Ned Flanders,7.9
The Simpsons,10,11,Wild Barts Can't Be Broken,8
The Simpsons,10,12,"Sunday, Cruddy Sunday",7
The Simpsons,10,13,Homer to the Max,7.8
The Simpsons,10,14,I'm with Cupid,7.8
The Simpsons,10,15,"Marge Simpson in: ""Screaming Yellow Honkers""",7.8
The Simpsons,10,16,Make Room for Lisa,7.5
The Simpsons,10,17,Maximum Homerdrive,8.1
The Simpsons,10,18,Simpsons Bible Stories,8.1
The Simpsons,10,19,Mom and Pop Art,8.2
The Simpsons,10,20,"The Old Man and the ""C"" Student",7.4
The Simpsons,10,21,Monty Can't Buy Me Love,7.9
The Simpsons,10,22,They Saved Lisa's Brain,7.4
The Simpsons,10,23,30 Minutes Over Tokyo,8.3
The Simpsons,11,1,Beyond Blunderdome,7.7
The Simpsons,11,2,Brother's Little Helper,8.8
The Simpsons,11,3,Guess Who's Coming to Criticize Dinner,8.4
The Simpsons,11,4,Treehouse of Horror X,8.9
The Simpsons,11,5,E-I-E-I-(Annoyed Grunt),8.9
The Simpsons,11,6,"Hello Gutter, Hello Fadder",8.2
The Simpsons,11,7,Eight Misbehavin,8.5
